Sample ID,Protein (g),Vitamin A (mg),Vitamin C (mg),Calcium (mg),Potassium (mg),Iron (mg),Fiber (g),Calories (kcal)
MOR-5376,2.24,0.54,95.12,201.23,356.19,1.49,6.93,70.0
MOR-5753,2.66,0.77,103.79,252.68,298.43,1.75,5.95,63.0
MOR-6987,6.66,0.41,118.98,231.65,258.18,1.07,7.86,54.0
MOR-2741,8.44,0.12,201.25,377.73,372.45,2.74,4.94,64.0
MOR-4181,5.99,0.13,93.21,355.87,338.66,0.6,5.26,58.0
MOR-7977,7.2,0.85,205.11,338.19,202.99,1.9,3.24,51.0
MOR-1125,5.74,0.44,70.83,323.16,371.04,2.23,6.78,62.0
MOR-8325,4.6,0.32,186.46,282.39,240.5,1.2,4.06,67.0
MOR-8280,6.71,0.75,100.72,341.11,216.06,2.61,6.44,67.0
MOR-3050,2.22,0.37,68.43,364.68,275.87,1.78,5.26,30.0
MOR-9196,2.82,0.68,81.05,251.98,323.16,2.52,7.52,54.0
MOR-2699,6.59,0.84,109.21,380.04,190.91,1.88,4.5,55.0
MOR-7806,5.64,0.87,221.54,381.48,395.87,0.69,2.09,66.0
MOR-3151,8.58,0.76,244.6,341.21,378.28,2.96,7.53,65.0
MOR-4674,8.13,0.41,183.84,312.67,385.04,0.96,4.08,36.0
MOR-2168,2.39,0.31,233.21,266.38,179.49,0.6,2.5,38.0
MOR-7835,2.83,0.21,198.18,266.5,378.05,2.13,5.89,42.0
MOR-3020,5.49,0.56,173.26,263.38,190.25,1.08,2.57,54.0
MOR-8734,7.74,0.89,100.98,245.44,293.99,2.46,4.08,51.0
MOR-2146,7.83,0.85,242.22,240.44,188.31,2.25,2.46,67.0
MOR-5590,2.1,0.71,141.71,387.6,287.71,2.74,5.56,39.0
MOR-7543,6.38,0.49,206.99,353.2,352.12,2.29,5.95,41.0
MOR-1001,6.43,0.56,184.3,391.91,163.7,1.44,6.69,57.0
MOR-2623,7.92,0.84,177.24,205.76,157.27,1.57,2.78,40.0
MOR-7375,7.07,0.72,202.98,323.65,304.11,1.56,7.44,54.0
MOR-2528,8.95,0.22,223.29,287.55,389.41,1.46,4.59,61.0
MOR-7106,7.95,0.51,53.24,251.74,319.9,2.9,6.34,39.0
MOR-7967,7.38,0.67,51.38,332.63,345.23,2.06,3.26,36.0
MOR-7284,2.98,0.51,107.1,218.42,332.69,2.87,2.23,35.0
MOR-3203,6.46,0.23,248.32,352.26,167.44,1.96,7.87,33.0
MOR-4148,2.34,0.32,248.69,233.64,383.46,0.93,7.59,49.0
MOR-8702,6.13,0.68,151.76,367.19,160.87,1.63,7.19,66.0
MOR-5775,6.5,0.62,235.77,279.19,212.37,0.79,4.42,57.0
MOR-2967,6.18,0.88,243.11,284.29,331.27,1.81,4.72,38.0
MOR-9981,2.54,0.43,83.6,223.54,299.83,0.58,7.84,65.0
MOR-2804,7.37,0.5,235.92,292.03,266.61,1.03,5.7,68.0
MOR-1638,5.51,0.48,224.85,298.84,307.23,2.17,2.37,58.0
MOR-6040,5.83,0.41,150.12,373.96,276.14,1.82,4.28,63.0
MOR-7309,3.11,0.86,236.18,294.18,260.41,2.69,2.09,57.0
MOR-5058,6.08,0.2,101.88,221.17,199.85,1.83,2.19,51.0
MOR-3317,2.74,0.73,142.21,299.66,150.33,2.87,2.89,67.0
MOR-9570,2.67,0.44,54.91,296.53,316.91,0.53,3.9,33.0
MOR-5730,3.07,0.12,228.9,354.88,260.14,2.68,3.47,49.0
MOR-8531,3.92,0.42,246.63,368.26,209.49,2.84,2.4,48.0
MOR-7089,6.81,0.24,206.92,255.11,249.29,2.75,5.71,62.0
MOR-2231,7.38,0.76,156.93,354.43,253.58,2.07,4.2,46.0
MOR-6329,5.82,0.6,154.07,229.55,236.81,2.54,4.01,65.0
MOR-3876,2.57,0.61,236.16,266.05,153.16,2.72,7.97,34.0
MOR-5866,7.32,0.56,152.51,393.06,249.51,1.51,5.56,49.0
MOR-9182,8.22,0.88,215.5,309.81,386.07,2.45,7.79,57.0
MOR-3921,4.72,0.81,158.41,225.91,365.36,1.65,7.02,65.0
MOR-4842,4.96,0.44,99.27,295.32,302.53,1.73,4.02,50.0
MOR-8353,2.86,0.7,210.9,201.45,166.79,1.14,7.73,65.0
MOR-2780,4.08,0.73,163.78,305.53,258.74,2.19,3.7,47.0
MOR-3609,7.44,0.25,215.87,243.03,278.87,2.98,5.34,69.0
MOR-2962,4.84,0.59,231.39,393.93,267.53,1.46,4.86,53.0
MOR-4677,8.45,0.89,167.1,396.06,211.91,1.63,4.35,38.0
MOR-1917,5.72,0.86,153.63,277.08,395.85,0.52,7.98,68.0
MOR-7044,5.58,0.24,170.69,238.7,388.89,2.24,6.55,49.0
MOR-7766,6.55,0.37,85.96,234.05,390.66,2.85,4.83,50.0
MOR-1949,5.76,0.49,216.26,208.43,162.15,1.67,6.0,67.0
MOR-4703,4.34,0.8,132.33,214.88,219.14,2.2,4.21,69.0
MOR-3732,8.91,0.16,53.38,312.8,211.14,1.62,2.52,58.0
MOR-5971,3.29,0.3,52.75,337.85,283.51,2.99,7.24,59.0
MOR-9146,2.43,0.39,207.36,339.65,253.16,1.47,4.54,61.0
MOR-2240,7.61,0.76,81.17,329.98,234.79,0.92,2.55,68.0
MOR-4883,2.36,0.83,139.0,298.87,312.61,0.56,6.87,31.0
MOR-6077,4.67,0.67,195.69,272.15,193.62,1.52,5.18,36.0
MOR-6097,6.76,0.7,140.8,249.38,341.57,0.92,2.05,38.0
MOR-3475,2.8,0.63,156.23,322.57,371.59,0.73,6.27,33.0
MOR-1650,8.0,0.51,176.51,375.31,231.05,2.61,3.43,41.0
MOR-7404,7.15,0.77,231.73,229.41,182.8,2.78,4.73,53.0
MOR-2979,4.01,0.43,85.94,340.3,348.36,0.58,4.3,67.0
MOR-5722,7.41,0.53,204.51,355.13,238.43,1.62,7.32,45.0
MOR-5705,4.25,0.24,242.79,369.97,302.8,2.16,6.25,44.0
MOR-1993,4.79,0.58,185.07,222.18,174.18,1.1,2.26,38.0
MOR-3429,6.75,0.11,66.52,206.14,238.65,1.44,6.76,68.0
MOR-1680,6.18,0.54,205.76,266.13,260.59,1.56,4.19,41.0
MOR-9874,7.85,0.24,190.36,341.92,305.12,0.74,4.23,32.0
MOR-9031,2.19,0.24,200.62,327.22,368.62,2.09,2.3,52.0
MOR-4529,3.09,0.79,184.91,269.49,331.63,1.11,7.33,60.0
MOR-5149,6.66,0.6,92.72,391.75,338.4,1.51,7.59,54.0
MOR-7210,2.47,0.4,149.77,200.41,227.24,1.73,7.46,68.0
MOR-9659,7.32,0.39,128.42,377.84,370.02,2.05,4.79,61.0
MOR-5170,5.29,0.24,135.57,380.73,186.94,0.72,2.08,34.0
MOR-1414,4.95,0.56,170.18,354.45,166.7,2.9,5.93,70.0
MOR-3259,4.7,0.28,230.11,329.97,181.78,2.14,6.51,54.0
MOR-9249,2.19,0.53,131.83,307.26,270.65,0.55,2.66,59.0
MOR-6201,5.73,0.6,128.23,203.63,173.47,1.99,4.39,37.0
MOR-5316,4.88,0.22,69.82,257.7,297.67,2.61,3.9,49.0
MOR-1053,2.37,0.65,58.69,287.4,221.11,2.5,7.33,46.0
MOR-1504,7.29,0.64,207.47,377.34,339.91,2.67,2.81,43.0
MOR-1847,3.15,0.82,121.59,363.65,380.31,2.31,4.63,30.0
MOR-4654,7.93,0.42,100.82,256.36,321.91,1.14,4.83,44.0
MOR-8614,6.11,0.61,59.77,235.22,249.19,2.98,2.37,40.0
MOR-7560,4.91,0.32,97.21,212.75,342.34,2.34,2.49,43.0
MOR-9487,4.71,0.1,160.69,320.73,173.55,0.57,6.44,52.0
MOR-5377,2.44,0.71,231.98,261.91,253.96,1.71,7.54,45.0
MOR-7861,3.28,0.85,176.25,359.9,251.35,2.92,7.24,33.0
MOR-9322,2.46,0.48,62.84,312.8,267.46,1.98,3.52,39.0
MOR-3875,3.41,0.64,62.02,304.31,397.53,0.92,3.57,67.0
MOR-9052,4.62,0.52,185.08,207.7,355.37,0.73,4.42,55.0
MOR-7633,7.39,0.13,196.86,217.62,354.48,1.86,2.19,43.0
MOR-2953,7.16,0.69,107.69,263.88,254.22,1.55,5.7,37.0
MOR-8148,5.61,0.18,73.95,302.38,171.06,1.2,3.45,38.0
MOR-9115,7.69,0.52,182.61,375.13,186.15,1.45,3.45,55.0
MOR-7335,7.97,0.87,126.53,381.51,221.16,0.71,4.75,56.0
MOR-2001,2.42,0.65,113.3,239.92,194.35,2.57,6.23,55.0
MOR-4389,6.24,0.51,154.65,257.37,362.69,2.17,7.34,49.0
MOR-4743,7.5,0.5,72.97,390.9,221.89,1.13,6.78,48.0
MOR-4691,4.16,0.77,162.34,204.92,324.58,2.85,5.36,35.0
MOR-4299,4.06,0.38,91.71,302.51,272.87,0.5,3.79,68.0
MOR-7552,7.52,0.76,135.01,318.75,268.86,2.16,2.56,65.0
MOR-3558,3.39,0.23,224.83,361.87,166.85,0.99,6.44,31.0
MOR-4358,4.65,0.19,192.74,210.16,177.69,2.9,4.38,52.0
MOR-6334,2.76,0.84,166.26,351.81,241.66,1.25,5.23,36.0
MOR-9728,5.56,0.76,142.96,273.21,175.9,2.65,3.0,50.0
MOR-4826,5.77,0.71,73.88,337.05,199.32,2.09,3.18,62.0
MOR-4860,6.37,0.1,72.08,305.76,219.28,2.86,5.18,66.0
MOR-9670,5.44,0.29,166.59,345.24,222.24,1.31,4.11,40.0
MOR-2398,4.71,0.41,219.14,302.2,338.7,2.82,7.29,38.0
MOR-6453,6.05,0.42,131.98,345.34,318.02,1.75,7.14,58.0
MOR-9320,7.54,0.66,94.41,238.99,390.92,2.41,4.54,43.0
MOR-2758,4.04,0.38,195.92,217.49,239.12,1.95,2.91,32.0
MOR-7444,8.2,0.51,176.66,358.84,317.42,0.53,4.36,64.0
MOR-1130,7.61,0.58,144.16,318.23,235.06,1.25,7.48,70.0
MOR-1912,8.88,0.29,139.13,320.59,269.86,1.84,6.24,62.0
MOR-8410,6.98,0.81,59.61,229.45,160.62,0.71,4.66,30.0
MOR-1582,5.41,0.59,139.84,360.18,190.69,1.99,5.45,32.0
MOR-3365,8.46,0.67,189.49,274.26,230.26,2.2,3.21,32.0
MOR-1806,8.75,0.53,74.49,395.36,191.4,2.13,3.63,40.0
MOR-2600,5.36,0.34,222.38,388.66,276.43,2.45,4.95,33.0
MOR-5860,2.52,0.66,204.75,382.66,192.26,0.84,6.94,47.0
MOR-5667,4.17,0.86,208.37,356.88,270.59,2.12,4.49,64.0
MOR-7949,2.53,0.81,138.21,350.22,181.61,2.73,3.14,35.0
MOR-5643,6.09,0.79,91.77,240.24,312.3,0.99,2.17,32.0
MOR-7312,2.08,0.55,235.22,330.88,155.86,2.52,2.12,33.0
MOR-5017,8.28,0.23,106.93,210.13,343.86,1.59,5.66,57.0
MOR-9077,4.23,0.83,94.48,252.5,327.11,2.22,5.65,60.0
MOR-5719,5.26,0.32,71.11,396.49,175.08,1.19,4.64,44.0
MOR-1644,2.93,0.55,212.25,258.65,311.51,1.36,6.11,54.0
MOR-6695,4.72,0.84,128.85,386.32,248.33,2.63,5.42,65.0
MOR-4041,2.27,0.62,210.66,367.59,171.37,0.73,2.63,45.0
MOR-5899,2.67,0.25,230.7,398.06,226.57,2.69,3.83,34.0
MOR-8169,2.61,0.5,155.41,304.67,320.18,1.38,5.12,45.0
MOR-2403,5.67,0.45,146.03,358.17,235.0,1.39,3.6,53.0
MOR-9882,7.64,0.38,73.48,296.15,315.23,0.56,5.83,41.0
MOR-5393,3.87,0.61,227.52,365.82,252.54,2.41,6.16,38.0
MOR-7086,8.03,0.25,207.48,308.03,248.5,2.49,4.77,60.0
MOR-6495,6.55,0.26,81.42,301.87,221.25,2.05,7.09,31.0
MOR-5513,2.12,0.53,130.42,355.44,173.15,1.11,2.67,59.0
MOR-2737,5.86,0.71,83.61,257.07,153.99,1.63,5.76,49.0
MOR-2656,2.79,0.18,132.65,255.42,171.25,2.09,2.24,67.0
MOR-4113,6.25,0.71,224.18,327.1,221.39,0.53,2.37,67.0
MOR-4150,7.86,0.87,220.66,288.68,359.07,2.01,4.46,43.0
MOR-5250,5.41,0.71,66.04,300.43,272.32,0.77,6.49,59.0
MOR-1108,2.63,0.32,145.1,368.05,243.98,1.78,4.82,45.0
MOR-3077,5.76,0.17,62.82,309.77,290.06,1.48,7.81,51.0
MOR-1861,2.93,0.57,72.74,229.46,168.9,2.89,5.78,70.0
MOR-7930,2.18,0.81,127.93,225.8,191.96,1.72,5.11,55.0
MOR-3539,7.01,0.36,162.8,207.81,286.77,1.86,3.3,45.0
MOR-1012,6.26,0.49,71.31,278.34,361.18,1.68,5.89,46.0
MOR-1353,2.66,0.2,247.87,208.3,340.16,2.97,2.84,47.0
MOR-6957,7.47,0.51,52.26,245.7,171.13,0.94,3.22,55.0
MOR-9298,7.84,0.34,190.93,227.18,387.52,1.55,3.9,35.0
MOR-6576,8.78,0.31,136.1,260.93,255.95,2.56,5.57,50.0
MOR-9257,7.7,0.46,229.9,322.84,207.01,2.38,7.43,54.0
MOR-4683,3.43,0.71,241.19,214.1,242.94,0.53,2.35,35.0
MOR-9316,3.67,0.73,167.88,312.06,265.02,0.87,3.42,39.0
MOR-7805,6.25,0.28,219.48,385.0,329.22,1.36,5.87,35.0
MOR-5809,3.38,0.67,209.07,368.57,299.37,1.04,6.75,47.0
MOR-8600,3.02,0.39,236.55,222.45,178.16,0.52,7.75,64.0
MOR-9691,3.79,0.76,181.76,324.5,257.52,1.29,5.9,46.0
MOR-3338,7.04,0.8,64.59,323.72,294.19,1.43,5.06,66.0
MOR-2658,5.39,0.17,110.35,322.99,221.34,1.7,5.77,50.0
MOR-8072,4.15,0.33,124.19,397.44,263.98,2.43,7.99,32.0
MOR-6105,3.91,0.84,189.21,362.3,357.72,2.01,7.72,39.0
MOR-4671,4.44,0.71,194.77,329.34,223.67,1.13,7.1,52.0
MOR-5585,2.87,0.15,73.94,386.13,163.78,1.44,5.67,34.0
MOR-9681,7.7,0.41,96.3,263.26,360.06,2.78,5.98,55.0
MOR-9352,5.71,0.73,224.45,393.05,365.82,1.64,4.27,48.0
MOR-1805,4.23,0.57,80.97,352.45,271.59,0.98,6.53,48.0
MOR-2255,6.01,0.86,214.19,211.09,166.2,2.43,3.56,41.0
MOR-5289,2.1,0.22,236.88,218.99,178.81,2.31,4.28,34.0
MOR-4426,7.42,0.73,56.44,295.47,206.21,0.94,7.79,68.0
MOR-3466,3.33,0.71,101.63,218.04,309.64,1.81,2.17,61.0
MOR-1040,4.96,0.64,150.34,323.02,226.09,0.7,6.11,39.0
MOR-4427,3.66,0.23,127.02,393.6,243.31,0.95,2.39,57.0
MOR-8470,4.31,0.15,139.04,211.64,330.58,1.01,5.3,60.0
MOR-1661,8.31,0.81,97.64,203.31,221.68,0.8,5.18,55.0
MOR-1121,2.53,0.89,151.44,219.98,213.39,1.71,7.58,41.0
MOR-7728,5.21,0.84,232.54,234.67,396.17,1.23,2.59,62.0
MOR-2686,7.87,0.77,170.21,359.73,269.66,0.82,4.33,39.0
MOR-7172,3.71,0.53,138.68,373.64,266.63,1.17,5.26,31.0
MOR-8649,7.21,0.55,199.66,336.52,244.93,2.33,2.14,67.0
MOR-3105,5.64,0.32,104.19,296.93,366.54,1.22,7.9,32.0
MOR-4305,6.84,0.5,160.02,205.56,237.98,1.92,2.96,68.0
MOR-3888,4.02,0.7,71.32,381.28,263.62,2.75,3.66,64.0
MOR-6166,3.77,0.56,74.29,248.25,183.19,2.42,6.7,56.0
MOR-2094,6.41,0.23,95.65,355.82,362.18,2.49,6.61,48.0
MOR-6776,2.03,0.38,247.44,247.13,381.7,2.68,6.32,47.0
MOR-3412,3.57,0.29,176.98,324.44,327.46,2.48,5.07,64.0
MOR-8110,6.77,0.31,164.31,362.5,388.07,1.36,2.21,69.0
MOR-9373,8.08,0.18,95.7,278.57,261.57,1.24,2.26,45.0
MOR-5006,7.35,0.12,84.83,283.15,198.35,1.66,3.45,57.0
MOR-7767,3.79,0.48,248.36,323.16,351.6,1.53,7.17,53.0
MOR-5260,3.71,0.1,164.25,351.81,364.25,0.91,2.16,62.0
MOR-2950,7.21,0.68,229.4,208.57,150.97,2.88,3.17,42.0
MOR-3397,6.28,0.2,148.44,331.86,293.64,1.04,7.95,53.0
MOR-2014,2.67,0.11,139.18,397.54,396.99,2.35,3.94,64.0
MOR-6351,4.48,0.68,97.61,216.43,248.48,1.79,2.51,38.0
MOR-2616,8.27,0.29,77.61,323.21,270.23,2.67,5.26,68.0
MOR-2955,3.87,0.59,159.49,270.66,283.59,2.33,3.12,40.0
MOR-5913,4.08,0.24,241.09,375.89,237.61,1.83,5.67,63.0
MOR-6412,5.94,0.33,233.57,271.48,280.32,1.51,6.4,52.0
MOR-6668,8.95,0.64,74.18,394.93,380.67,2.18,4.85,38.0
MOR-7307,2.9,0.79,196.46,323.32,186.17,1.9,6.48,35.0
MOR-6390,8.4,0.63,115.69,240.51,348.94,0.54,5.28,57.0
MOR-3366,2.38,0.38,58.13,273.41,261.14,1.83,3.1,62.0
MOR-9519,8.14,0.54,126.27,244.89,393.05,2.74,6.22,36.0
MOR-6294,5.77,0.6,186.31,208.42,358.6,0.58,2.75,51.0
MOR-1114,8.43,0.81,74.5,270.28,207.91,2.71,6.3,69.0
MOR-2496,6.56,0.42,207.39,201.67,224.64,2.5,3.57,37.0
MOR-4571,3.68,0.71,120.47,366.7,358.06,0.86,2.84,35.0
MOR-9806,7.23,0.16,91.33,208.82,301.23,1.05,4.64,66.0
MOR-8512,5.39,0.33,236.84,320.08,209.36,1.68,6.03,54.0
MOR-7198,8.71,0.73,126.1,388.46,286.67,2.3,2.09,58.0
MOR-1533,6.28,0.47,170.15,222.91,206.58,2.01,2.39,46.0
MOR-1705,7.84,0.3,164.21,203.42,235.09,1.83,5.47,59.0
MOR-4349,8.1,0.32,155.13,240.91,221.36,0.54,4.14,33.0
MOR-8359,2.81,0.19,180.33,331.0,294.45,0.75,7.99,68.0
MOR-9149,7.72,0.72,116.84,293.01,353.47,2.33,5.31,44.0
MOR-9422,7.75,0.37,147.25,325.5,175.96,2.59,7.29,67.0
MOR-4536,6.39,0.42,110.65,239.34,328.74,0.9,3.19,57.0
MOR-9570,6.46,0.81,178.12,273.89,155.57,2.07,6.16,50.0
MOR-7497,6.37,0.71,225.8,289.56,305.33,1.81,4.65,38.0
MOR-9479,4.08,0.45,215.45,313.26,251.07,2.67,3.95,49.0
MOR-1240,2.6,0.44,92.39,370.83,208.93,1.52,2.35,38.0
MOR-1651,5.87,0.81,184.94,315.0,272.9,0.74,3.39,36.0
MOR-3999,4.08,0.19,243.29,231.39,158.29,1.97,3.4,58.0
MOR-1264,6.56,0.49,241.57,395.29,337.46,2.31,4.87,39.0
MOR-2981,5.11,0.34,148.55,269.04,209.21,0.83,4.1,31.0
MOR-7505,2.17,0.2,195.83,370.11,158.87,1.42,3.2,67.0
MOR-8461,5.47,0.52,202.17,267.74,291.2,1.93,7.69,48.0
MOR-4618,5.85,0.55,177.79,245.86,222.59,0.77,4.78,55.0
MOR-5681,5.34,0.89,226.95,279.49,365.1,2.26,4.83,39.0
MOR-6300,4.0,0.12,175.41,334.3,199.37,1.89,6.89,41.0
MOR-5763,2.89,0.12,118.94,218.44,162.05,1.71,7.88,61.0
MOR-2003,8.2,0.55,144.62,369.93,168.55,1.31,5.7,34.0
MOR-2419,7.29,0.79,82.86,310.6,398.64,0.59,3.74,52.0
MOR-9940,2.44,0.38,165.48,220.07,285.82,0.9,4.8,61.0
MOR-4536,3.38,0.37,172.2,216.18,212.04,2.8,7.82,40.0
MOR-5356,6.88,0.36,165.03,218.28,376.85,0.67,7.6,62.0
MOR-7211,6.73,0.39,54.04,255.52,208.7,0.98,6.09,34.0
MOR-4247,8.77,0.3,119.48,388.17,230.08,1.1,6.41,52.0
MOR-7451,7.32,0.35,232.07,331.33,396.32,0.66,6.29,46.0
MOR-9975,4.66,0.27,61.72,295.75,231.22,1.47,5.07,42.0
MOR-3804,5.26,0.34,187.12,201.01,220.61,2.87,5.05,68.0
MOR-6593,5.73,0.46,222.38,370.18,255.27,1.99,4.71,30.0
MOR-2458,4.03,0.26,169.38,380.14,315.98,2.35,2.44,59.0
MOR-7828,3.47,0.39,60.61,336.43,256.66,0.52,5.54,52.0
MOR-9077,8.2,0.27,157.54,276.72,378.33,1.75,2.91,35.0
MOR-8491,2.7,0.23,104.35,357.59,155.63,1.83,5.72,39.0
MOR-6923,3.33,0.57,130.3,327.69,152.16,1.37,7.58,68.0
MOR-7947,8.82,0.68,210.12,318.36,288.9,2.49,3.39,45.0
MOR-5025,4.39,0.45,111.73,210.91,268.58,1.41,6.72,40.0
MOR-4310,4.6,0.49,65.93,246.18,172.56,2.58,7.95,49.0
MOR-3031,5.6,0.82,217.83,299.83,331.85,2.66,6.92,44.0
MOR-5608,7.82,0.78,146.45,332.89,392.44,1.35,2.22,69.0
MOR-5786,6.12,0.67,172.16,360.81,373.91,1.94,4.63,66.0
MOR-5848,5.44,0.35,159.84,214.94,260.24,2.01,7.43,54.0
MOR-8697,2.08,0.2,58.16,395.11,155.97,1.52,7.02,37.0
MOR-3139,8.34,0.19,96.07,298.95,258.95,2.1,3.14,62.0
MOR-2558,4.25,0.27,184.64,316.95,391.3,0.73,2.1,42.0
MOR-7487,3.19,0.17,116.81,387.8,366.43,0.61,4.62,66.0
MOR-5847,6.89,0.51,134.19,270.64,214.97,0.86,2.05,61.0
MOR-9188,4.3,0.47,239.76,346.38,386.67,1.27,4.41,38.0
MOR-1490,2.72,0.59,236.81,332.86,212.22,2.84,4.86,35.0
MOR-3701,8.96,0.87,215.05,214.24,205.42,1.05,4.23,61.0
MOR-3218,2.02,0.64,228.12,204.73,369.93,2.84,4.73,68.0
MOR-7244,4.97,0.25,147.92,214.04,348.65,1.52,5.33,32.0
MOR-8369,2.99,0.19,57.53,243.88,368.75,1.84,6.12,66.0
MOR-6315,5.01,0.77,138.93,348.55,289.65,1.19,4.83,36.0
MOR-7963,8.2,0.43,137.31,257.4,367.3,0.92,7.76,68.0
MOR-5804,5.11,0.83,72.31,274.76,278.16,1.52,2.38,46.0
MOR-2283,8.41,0.79,246.94,333.34,270.73,0.67,5.01,67.0
MOR-4921,4.22,0.56,201.05,314.29,392.32,2.48,3.17,54.0
MOR-4860,7.72,0.31,175.16,222.98,376.98,1.85,2.49,52.0
MOR-9979,8.78,0.49,139.6,357.16,221.13,0.71,5.21,32.0
MOR-9285,3.07,0.72,143.79,240.61,374.36,1.43,6.37,52.0
MOR-9325,2.78,0.37,199.45,371.83,263.77,2.08,4.45,41.0
MOR-3687,2.16,0.42,230.04,265.28,186.08,1.35,5.63,33.0
MOR-2637,6.67,0.11,134.25,264.04,239.17,0.81,3.57,50.0
MOR-3323,4.97,0.62,97.44,383.71,318.48,2.52,5.66,34.0
MOR-9896,2.24,0.51,186.36,245.66,328.73,1.05,3.5,40.0
MOR-5746,7.74,0.73,116.87,287.43,253.47,1.18,2.92,43.0
MOR-9424,8.69,0.53,190.12,224.61,156.54,2.04,4.64,68.0
MOR-1061,6.45,0.44,145.36,301.71,152.24,1.54,5.34,51.0
MOR-6283,5.2,0.18,146.68,219.83,377.05,1.41,7.4,57.0
MOR-5035,2.25,0.87,86.95,301.86,273.25,2.12,7.46,61.0
MOR-1776,6.11,0.67,229.1,334.21,263.19,1.98,5.64,38.0
MOR-6075,2.97,0.12,113.84,399.86,342.84,1.8,5.18,62.0
MOR-5535,5.15,0.67,105.51,236.65,210.4,0.93,4.45,44.0
MOR-7742,2.25,0.74,180.05,237.23,246.25,2.11,5.75,54.0
MOR-9485,4.66,0.19,248.87,202.92,350.21,2.73,6.73,48.0
MOR-8885,6.2,0.48,195.22,354.19,164.84,1.04,5.47,68.0
MOR-6619,7.64,0.4,167.27,388.86,362.1,2.74,2.13,39.0
MOR-6382,7.06,0.52,189.28,330.96,183.43,0.83,2.77,31.0
MOR-3863,2.61,0.38,170.9,268.92,292.47,0.7,5.49,55.0
MOR-9017,7.14,0.3,52.0,293.28,163.48,1.87,4.6,31.0
MOR-5000,5.28,0.31,136.21,366.3,240.78,0.78,7.02,51.0
MOR-9467,5.04,0.84,130.59,208.39,224.82,2.48,7.15,36.0
MOR-4431,3.79,0.42,176.27,368.41,161.23,1.31,6.76,62.0
MOR-5811,3.38,0.71,191.79,219.43,335.4,1.08,6.04,56.0
MOR-4517,7.49,0.5,241.74,387.13,339.03,0.93,4.95,69.0
MOR-3990,3.46,0.89,146.64,211.51,228.14,0.51,5.0,30.0
MOR-4284,6.81,0.14,119.56,362.9,196.7,2.53,6.44,33.0
MOR-7427,5.84,0.78,218.72,249.13,266.57,1.38,2.11,44.0
MOR-7321,5.42,0.67,60.89,300.49,232.98,2.88,7.92,58.0
MOR-6834,3.47,0.73,170.83,230.86,271.87,1.99,4.65,44.0
MOR-7900,7.54,0.43,77.55,290.75,185.2,2.8,5.23,61.0
MOR-1254,5.81,0.56,53.78,242.28,317.12,2.3,2.78,41.0
MOR-6350,4.33,0.26,154.53,260.36,259.37,2.06,2.36,32.0
MOR-4448,8.06,0.68,219.84,272.35,210.13,2.64,6.75,44.0
MOR-1853,2.5,0.82,72.22,234.03,341.4,2.5,2.76,39.0
MOR-5666,4.7,0.16,150.87,293.6,397.71,2.03,5.97,64.0
MOR-6821,5.31,0.66,206.94,273.79,376.58,1.05,7.73,43.0
MOR-8634,5.99,0.83,154.29,361.54,342.91,0.79,4.5,57.0
MOR-6162,8.02,0.31,106.49,279.07,394.45,0.54,5.35,51.0
MOR-5041,8.74,0.72,230.09,337.7,368.49,0.71,2.13,65.0
MOR-5645,7.79,0.68,108.68,374.45,188.89,0.83,3.14,44.0
MOR-9931,7.71,0.34,227.52,216.9,374.6,2.82,6.97,45.0
MOR-9600,2.04,0.31,73.67,251.47,371.28,1.93,6.08,63.0
MOR-1466,2.61,0.79,146.45,325.57,241.79,1.26,7.69,48.0
MOR-1690,8.89,0.47,71.35,332.39,201.94,0.82,4.35,48.0
MOR-4166,5.14,0.45,108.05,371.28,165.59,0.74,5.14,46.0
MOR-2173,4.78,0.77,93.73,247.2,296.22,0.76,6.79,36.0
MOR-1121,3.47,0.39,199.72,385.5,202.88,1.91,4.35,66.0
MOR-7515,6.08,0.68,200.89,241.07,295.8,1.48,3.7,68.0
MOR-1550,4.21,0.23,186.25,217.65,283.43,0.51,7.76,64.0
MOR-6076,3.96,0.66,161.67,211.25,345.11,1.37,2.72,65.0
MOR-7924,3.18,0.81,74.71,356.41,301.49,2.23,5.23,42.0
MOR-3703,5.19,0.2,127.32,289.73,161.06,1.48,2.06,52.0
MOR-3885,3.74,0.26,208.07,210.92,380.05,2.44,4.53,45.0
MOR-4204,5.12,0.73,186.23,339.31,296.64,1.45,6.42,57.0
MOR-1257,7.53,0.14,239.89,394.18,347.25,1.75,3.8,32.0
MOR-4672,6.46,0.52,84.21,220.56,304.57,0.51,6.47,53.0
MOR-8517,4.02,0.26,158.56,386.94,202.13,0.66,7.12,60.0
MOR-2372,8.62,0.4,213.08,254.97,231.78,1.16,3.51,52.0
MOR-2168,5.58,0.35,82.04,290.27,157.3,0.6,7.92,54.0
MOR-3800,3.91,0.23,92.63,399.07,168.24,1.91,7.48,35.0
MOR-7019,8.52,0.34,97.07,395.63,286.21,0.77,3.15,36.0
MOR-6746,2.8,0.12,81.95,331.99,254.85,1.83,7.98,50.0
MOR-2158,4.52,0.47,76.1,318.86,331.11,2.91,3.1,57.0
MOR-6331,5.72,0.27,71.96,358.59,304.88,1.2,4.6,60.0
MOR-9665,6.8,0.52,127.11,338.67,316.07,0.84,2.98,37.0
MOR-2531,8.83,0.81,244.77,361.17,318.68,1.06,4.45,47.0
